ааб	AA P <SPACE>
толи	T O LJ I <SPACE>
толстой	T O L S T O J <SPACE>
томо	T O M EH <SPACE>
томорхуу	T O M EH R H UUh <SPACE>
томохон	T O M EH H EH NG <SPACE>
томошуул	T O M SH UUh L <SPACE>
тон	T O NG <SPACE>
тоо	T OOh <SPACE>
тоогдонгүй	T OOh G D EH NG G UIs <SPACE>
тоогоор	T OOh Gr OOh R <SPACE>
тоодо	T OOh D EH <SPACE>
тоологдодог	T OOh L EH G D EH D EH K <SPACE>
тоонто	T OOh N T EH <SPACE>
тоонтотой	T OOh N T EH T EE <SPACE>
тоонтоёо	T OOh N T EH J OOh <SPACE>
тооһо	T OOh HH EH <SPACE>
тооһоноо	T OOh HH EH N OOh <SPACE>
тордиһогүй	T O R DJ I HH EH Gr UIs <SPACE>
тохожорхихо	T O H EH ZH E R HJ I H EH <SPACE>
тохёолдожо	T O HJ OOh L D EH ZH EH <SPACE>
тохёолдоод	T O HJ OOh L D OOh T <SPACE>
тоһо	T O HH EH <SPACE>
тоһон	T O HH EH NG <SPACE>
травоолтэ	T R A V OOh L T EH <SPACE>
трактаар	T R A K T AA R <SPACE>
трактортай	T R A K T EH R T EE <SPACE>
тренер	T RJ E NJ E R <SPACE>
тренерэйнь	T RJ E NJ E R EE NJ <SPACE>
трюгүүдые	T RJ UUh Gr UUs D Y J EH <SPACE>
тугал	T Uh Gr EH L <SPACE>
тудалдадаг	T Uh D EH L D EH D EH K <SPACE>
тудашоо	T Uh D EH SH OOh <SPACE>
туйлалта	T UIs L EH L T EH <SPACE>
туйлаһан	T UIh L EH HH EH NG <SPACE>
тула	T Uh L EH <SPACE>
тулада	T Uh L EH D EH <SPACE>
тулалдаанай	T Uh L EH L D AA N EE <SPACE>
туласа	T Uh L EH S EH <SPACE>
тунгалаг	T Uh NG G EH L EH K <SPACE>
тунгус	T Uh NG G Uh S <SPACE>
тура	T Uh R EH <SPACE>
туркада	T Uh R K EH D EH <SPACE>
туркуһаань	T Uh R K Uh HH AA NJ <SPACE>
турша	T Uh R SH EH <SPACE>
туршагты	T Uh R SH EH K T Y <SPACE>
туршада	T Uh R SH EH D EH <SPACE>
туршажа	T Uh R SH EH ZH EH <SPACE>
туршаха	T Uh R SH EH H EH <SPACE>
тус	T Uh S <SPACE>
тусда	T Uh S D EH <SPACE>
тухай	T Uh H EE <SPACE>
тухайгаа	T Uh H EE Gr AA <SPACE>
тухайм	T Uh H EE M <SPACE>
туяа	T Uh J AA <SPACE>
туһа	T Uh HH EH <SPACE>
туһаар	T Uh HH AA R <SPACE>
туһалалсаа	T Uh HH EH L EH L S AA <SPACE>
туһаламжа	T Uh HH EH L EH M ZH EH <SPACE>
туһаламжанууд	T Uh HH EH L EH M ZH EH N UUh T <SPACE>
туһалдаг	T Uh HH EH L D EH K <SPACE>
туһалжа	T Uh HH EH L ZH EH <SPACE>
туһалсажа	T Uh HH EH L S EH ZH EH <SPACE>
туһалха	T Uh HH EH L H EH <SPACE>
туһалхые	T Uh HH EH L H Y J EH <SPACE>
туһатай	T Uh HH EH T EE <SPACE>
туһаяа	T Uh HH EH J AA <SPACE>
тысяча	T Y SJ A CH A <SPACE>
тэбэрихэ	T E V EH RJ I H EH <SPACE>
тэгшэ	T E K SH EH <SPACE>
тэдхэмжэ	T E T H EH M ZH EH <SPACE>
тэдэ	T E D EH <SPACE>
тэдэмнай	T E D EH M N EE <SPACE>
тэдэнэй	T E D EH N EE <SPACE>
тэдэнэйнь	T E D EH N EE NJ <SPACE>
тэдэнэр	T E D EH N EH R <SPACE>
тэдэнэрэй	T E D EH N EH R EE <SPACE>
тэдэнээ	T E D EH N EE <SPACE>
тэдээндэ	T E D EE N D EH <SPACE>
тэдээнтэй	T E D EE N T EE <SPACE>
тэжээ	T E ZH EE <SPACE>
тэжээгты	T E ZH EE K T Y <SPACE>
тэжээхэ	T E ZH EE H EH <SPACE>
тэжээхэеэ	T E ZH EE H EH J EE <SPACE>
тэмдэглэдэг	T E M D EH G L EH D EH K <SPACE>
тэмдэглэмээр	T E M D EH G L EH M EE R <SPACE>
тэмдэглээ	T E M D EH G L EE <SPACE>
тэмдэглэһээр	T E M D EH G L EH HH EE R <SPACE>
тэмсээн	T E M S EE NG <SPACE>
тэнгисэй	T E NG GJ I S EE <SPACE>
тэнгэриин	T E NG G EH RJ II NG <SPACE>
тэндэ	T E N D EH <SPACE>
тэндэмни	T E N D EH M NJ I <SPACE>
тэндэнь	T E N D EH NJ <SPACE>
тэндэхи	T E N D EH HJ I <SPACE>
тэниидэг	T E NJ II D EH K <SPACE>
тэнюун	T E NJ UUh NG <SPACE>
тэригүүн	T E RJ I Gr UUs NG <SPACE>
тэрьедээд	T E RJ J E D EE T <SPACE>
тэрэ	T E R EH <SPACE>
тэрэмни	T E R EH M NJ I <SPACE>
тэрэниие	T E R EH NJ II J EH <SPACE>
тэрэнтэй	T E R EH N T EE <SPACE>
тэрэнэй	T E R EH N EE <SPACE>
тэрэнээ	T E R EH N EE <SPACE>
тэрэшни	T E R EH SH NJ I <SPACE>
тэрээн	T E R EE NG <SPACE>
тэрээндэ	T E R EE N D EH <SPACE>
тэрээндэнь	T E R EE N D EH NJ <SPACE>
тэрээниие	T E R EE NJ II J EH <SPACE>
тэрээнһээ	T EH R EE N HH EE <SPACE>
тэрээхэнэй	T E R EE H EH N EE <SPACE>
тэсэмгэй	T E S EH M Gr EE <SPACE>
тээ	T EE <SPACE>
тээшэ	T EE SH EH <SPACE>
түб	T Us P <SPACE>
түби	T Us VJ I <SPACE>
түбхинэһэн	T Us P HJ I N EH HH EH NG <SPACE>
түбхинөө	T Us P HJ I N OOs <SPACE>
түбэй	T Us V EE <SPACE>
түбүүдһээ	T Us V UUs D HH EE <SPACE>
түгнын	T Us G N Y NG <SPACE>
түгнынгөө	T Us G N Y NG G OOs <SPACE>
түгэлдэр	T Us Gr EH L D EH R <SPACE>
түгэсхэлэй	T Us Gr EH S H EH L EE <SPACE>
түгэсэбэ	T Us Gr EH S EH V EH <SPACE>
түлбэри	T Us L V EH RJ I <SPACE>
түлеэ	T Us LJ EE <SPACE>
түлхюур	T Us L HJ UUh R <SPACE>
түлөө	T Us L OOs <SPACE>
түлөөлэгшэд	T Us L OOs L EH K SH EH T <SPACE>
түлөөһэгүйгөөр	T Us L OOs HH EH Gr UIs Gr OOs R <SPACE>
түмэр	T Us M EH R <SPACE>
түмүрид	T Us M Us RJ I T <SPACE>
түнхэн	T Us N H EH NG <SPACE>
түнхэнэй	T Us N H EH N EE <SPACE>
түргэ	T Us R Gr EH <SPACE>
түргэн	T Us R Gr EH NG <SPACE>
түргэнөөр	T Us R Gr EH N OOs R <SPACE>
түргэхэнөөр	T Us R Gr EH H EH N OOs R <SPACE>
түрхидэг	T Us R HJ I D EH K <SPACE>
түрын	T Us R Y NG <SPACE>
түрэ	T Us R EH <SPACE>
түрэл	T Us R EH L <SPACE>
түрэлнүүд	T Us R EH L N UUh T <SPACE>
түрэлхид	T Us R EH L HJ I D <SPACE>
түрэлхидтэеэ	T Us R EH L HJ I T T E J EE <SPACE>
түрэхэһөө	T Us R EH H EH HH OOs <SPACE>
түрэһэн	T Us R EH HH EH NG <SPACE>
түрэһэнэй	T Us R EH HH EH N EE <SPACE>
түрүү	T Us R UUs <SPACE>
түрүүл	T Us R UUs L <SPACE>
түрүүлжэ	T Us R UUs L ZH EH <SPACE>
түрүүлнэ	T Us R UUs L N EH <SPACE>
түрүүлэгшэ	T Us R UUs L EH K SH EH <SPACE>
түрүүн	T Us R UUs NG <SPACE>
түрүүтэй	T Us R UUs T EE <SPACE>
түрүүшын	T Us R UUs SH Y NG <SPACE>
түрүүшынхеэ	T Us R UUs SH Y N HJ EE <SPACE>
түрүүшынхиеэ	T Us R UUs SH Y N HJ I J EE <SPACE>
түрүүшээр	T Us R UUs SH EE R <SPACE>
түрүүшүүлэй	T Us R UUs SH UUs L EE <SPACE>
түрөө	T Us R OOs <SPACE>
түсэб	T Us S EH P <SPACE>
түсэбүүд	T Us S EH V UUs T <SPACE>
түхэл	T Us H EH L <SPACE>
түхэлөөр	T Us H EH L OOs R <SPACE>
түхэм	T Us H EH M <SPACE>
түхөөбэ	T Us H OOs B EH <SPACE>
түүлөөбди	T UUs L OOs B DJ I <SPACE>
түүхэ	T UUs H EH <SPACE>
түүхэдэ	T UUs H EH D EE <SPACE>
түүхэй	T UUs H EE <SPACE>
түүхэтэ	T UUs H EH T EH <SPACE>
түүхэтэй	T UUs H EH T EE <SPACE>
убушеевичай	Uh V Uh SH E J E VJ I CH EE <SPACE>
уг	Uh K <SPACE>
угаа	Uh Gr AA <SPACE>
угаараа	Uh Gr AA R AA <SPACE>
угай	Uh Gr EE <SPACE>
угайм	Uh Gr EE M <SPACE>
угтагдаа	Uh K T EH G D AA <SPACE>
угтагдажа	Uh K T EH G D EH ZH EH <SPACE>
угтадаг	Uh K T EH D EH K <SPACE>
угтажа	Uh T K EH ZH EH <SPACE>
угтан	Uh K T EH NG <SPACE>
угтахань	Uh K T EH H EH NJ <SPACE>
угтаһан	Uh K T EH HH EH NG <SPACE>
угуудай	Uh Gr UUh D EE <SPACE>
угһаа	Uh G HH AA <SPACE>
удаа	Uh D AA <SPACE>
удаан	Uh D AA NG <SPACE>
удаань	Uh D AA NJ <SPACE>
удаахан	Uh D AA H EH NG <SPACE>
удаганай	Uh D EH Gr EH N EE <SPACE>
уданшьегүй	Uh D EH NG SH J EH Gr UIs <SPACE>
ударидалгатай	Uh D EH RJ I D EH L Gr EH T EE <SPACE>
удахагүй	Uh D EH H EH Gr UIs <SPACE>
удха	Uh T H EH <SPACE>
удхатай	Uh T H EH T EE <SPACE>
уйгуурнууд	UIh Gr UUh R N UUh T <SPACE>
уйлана	UIh L EH N EH <SPACE>
улаан	Uh L AA NG <SPACE>
улаанүдын	Uh L AA N Us D Y NG <SPACE>
улаанүдэ	Uh L AA N Us D EH <SPACE>
улаанүдэдэ	Uh L AA N Us D EH D EH <SPACE>
уладууд	Uh L EH D UUh T <SPACE>
улам	Uh L EH M <SPACE>
улан	Uh L EH NG <SPACE>
уларилтай	Uh L EH RJ I L T EE <SPACE>
улас	Uh L EH S <SPACE>
уласай	Uh L EH S EE <SPACE>
уласта	Uh L EH S T EH <SPACE>
уласуудта	Uh L EH S UUh T T EH <SPACE>
уласхоорондын	Uh L EH S H OOh R EH N D Y NG <SPACE>
уласые	Uh L EH S Y J EH <SPACE>
унаган	Uh N EH Gr EH NG <SPACE>
уналга	Uh N EH L Gr EH <SPACE>
унахадань	Uh N EH H EH D EH NJ <SPACE>
ундалжа	Uh N D EH L ZH EH <SPACE>
университедэй	Uh NJ I VJ E R SJ I TJ E D EE <SPACE>
университет	Uh NJ I VJ E R SJ I TJ E T <SPACE>
унталгын	Uh N T EH L Gr Y NG <SPACE>
уншааб	Uh N SH AA P <SPACE>
уншаад	Uh N SH AA T <SPACE>
уншагшадай	Uh N SH EH K SH EH D EE <SPACE>
уншагшадтаа	Uh N SH EH K SH EH T T AA <SPACE>
уншагшадтаяа	Uh N SH EH K SH EH T T EH J AA <SPACE>
уншагшадые	Uh N SH EH K SH EH D Y J EH <SPACE>
уншадаг	Uh N SH EH D EH K <SPACE>
уншана	Uh N SH EH N EH <SPACE>
уншаха	Uh N SH EH H EH <SPACE>
уншаһан	Uh N SH EH HH EH NG <SPACE>
урагшаа	Uh R EH G SH AA <SPACE>
урагшань	Uh R EH K SH EH NJ <SPACE>
урагшатай	Uh R EH G SH EH T EE <SPACE>
уран	Uh R EH NG <SPACE>
уранаар	Uh R EH N AA R <SPACE>
урбашагүй	Uh R V EH SH EH Gr UIs <SPACE>
ургалта	Uh R Gr EH L T EH <SPACE>
ургамал	Uh R Gr EH M EH L <SPACE>
урган	Uh R Gr EH NG <SPACE>
ургы	Uh R Gr Y <SPACE>
ургыхан	Uh R Gr Y H EH NG <SPACE>
урда	Uh R D EH <SPACE>
урдаа	Uh R D AA <SPACE>
урданай	Uh R D EH N EE <SPACE>
урданайнгаа	Uh R D EH N EE NG G AA <SPACE>
урдуулаагүй	Uh R D UUh L AA Gr UIs <SPACE>
урдын	Uh R D Y NG <SPACE>
урид	Uh RJ I T <SPACE>
уридаг	Uh RJ I D EH K <SPACE>
урижа	Uh RJ I ZH EH <SPACE>
урин	Uh RJ I NG <SPACE>
урихадань	Uh RJ I H EH D EH NJ <SPACE>
урихан	Uh RJ I H EH NG <SPACE>
уриһан	Uh RJ I HH EH NG <SPACE>
урматай	Uh R M EH T EE <SPACE>
уряа	Uh RJ AA <SPACE>
уряална	Uh RJ AA L N EH <SPACE>
усалталгада	Uh S EH L T EH L Gr EH D EH <SPACE>
устьордада	Uh S TJ O R D A D EH <SPACE>
устьордын	Uh S TJ O R D Y NG <SPACE>
ута	Uh T EH <SPACE>
утаһаар	Uh T A HH AA R <SPACE>
утаһые	Uh T A HH Y J EH <SPACE>
уужа	UUh ZH EH <SPACE>
уужамаар	UUh ZH EH M AA R <SPACE>
уула	UUh L EH <SPACE>
уулада	UUh L EH D EH <SPACE>
уулархаг	UUh L EH R H EH K <SPACE>
уулаяа	UUh L A J AA <SPACE>
уулаһаашье	UUh L EH HH AA SH J EH <SPACE>
уулзаа	UUh L Z AA <SPACE>
уулзажа	UUh L Z EH ZH EH <SPACE>
уулзалга	UUh L Z EH L Gr EH <SPACE>
уулзахадаа	UUh L Z EH H EH D AA <SPACE>
уулзаһан	UUh L Z EH HH EH NG <SPACE>
уулын	UUh L Y NG <SPACE>
ухаагаараа	Uh H AA Gr AA R AA <SPACE>
ухаан	Uh H AA NG <SPACE>
ухаанай	Uh H AA N EE <SPACE>
ухаандаа	Uh H AA N D AA <SPACE>
ухаантай	Uh H AA N T EE <SPACE>
ухаатай	Uh H AA T EE <SPACE>
училищи	Uh CH I LJ I SCH I <SPACE>
училищида	Uh CH I LJ I SCH I D EH <SPACE>
училищиин	Uh CH I LJ I SCH I NG <SPACE>
училищияа	Uh CH I LJ I SCH I J AA <SPACE>
ушар	Uh SH EH R <SPACE>
ушаралай	Uh SH EH R EH L EE <SPACE>
ушарнууд	Uh SH EH R N UUh T <SPACE>
ушарнуудаар	Uh SH EH R N UUh D AA R <SPACE>
ушарнуудтай	Uh SH EH R N UUh T T EE <SPACE>
ушартаа	Uh SH EH R T AA <SPACE>
уялга	Uh J EH L Gr EH <SPACE>
уялгалха	Uh J EH L Gr EH L H EH <SPACE>
уялгата	Uh J EH L Gr EH T EH <SPACE>
уян	Uh J A NG <SPACE>
уянгатайгаар	Uh J A NG Gr EH T EE Gr AA R <SPACE>
уянгые	Uh J A NG G Y J EH <SPACE>
уяруулна	Uh J A R UUh L N EH <SPACE>
уһа	Uh HH EH <SPACE>
уһан	Uh HH EH NG <SPACE>
уһанайнь	Uh HH EH N EE NJ <SPACE>
уһанда	Uh HH EH N D EH <SPACE>
уһатай	Uh HH EH T EE <SPACE>
факультативна	F A K Uh LJ T A TJ I V N EH <SPACE>
факультедтэ	F A K Uh LJ TJ EH T T EH <SPACE>
фермернүүд	FJ E R MJ EH R N UUs T <SPACE>
фермернүүдтэ	FJ E R MJ EH R N UUs T T EH <SPACE>
фестивалиин	FJ E S TJ I V A LJ II NG <SPACE>
фестивальнуудта	FJ E S TJ I V A LJ N UUh T T EH <SPACE>
физическэ	FJ I ZJ I CH E S K EH <SPACE>
философско	FJ I L O S O F S K EH <SPACE>
фильм	FJ I LJ M <SPACE>
фильмнүүдые	FJ I LJ M N UUs D Y J EH <SPACE>
финляндиин	FJ I N LJ A N DJ II NG <SPACE>
флодой	F L O D EE <SPACE>
фм	EH F EH M <SPACE>
фольклорно	F O LJ K LJ O R N EH <SPACE>
фонтан	F O N T A NG <SPACE>
фото	F O T EH <SPACE>
францида	F R A N C Y D EH <SPACE>
франциин	P R A N C Y NG <SPACE>
француз	F R A N C Us S <SPACE>
ха	H A <SPACE>
хаагаа	H AA Gr AA <SPACE>
хаагданхай	H AA G D EH N H EE <SPACE>
хаажа	H AA ZH EH <SPACE>
хаан	H AA NG <SPACE>
хаана	H AA N EH <SPACE>
хаанабииб	H AA N EH VJ II P <SPACE>
хаанабши	H AA N EH P SH Y <SPACE>
хаанай	H AA N EE <SPACE>
хаанахи	H AA N EH HJ I <SPACE>
хаанашье	H AA N EH SH J EH <SPACE>
хаанаһаа	H AA N EH HH AA <SPACE>
хаашаг	H AA SH EH K <SPACE>
хаашагай	H AA SH EH Gr EE <SPACE>
хаашагһаа	H AA SH EH G HH AA <SPACE>
хаба	H A V EH <SPACE>
хабаадаа	H A V AA D AA <SPACE>
хабаадагшадые	H A V AA D EH K SH EH D Y J EH <SPACE>
хабаададаг	H A V AA D EH D EH K <SPACE>
хабаададагбди	H A V AA D EH D EH G B DJ I <SPACE>
хабаададагта	H A V AA D EH D EH K T EH <SPACE>
хабаадажа	H A V AA D EH ZH EH <SPACE>
хабаадалгаар	H A V AA D EH L Gr AA R <SPACE>
хабаадалсаһан	H A V AA D EH L S EH HH EH NG <SPACE>
хабаадана	H A V AA D EH N EH <SPACE>
хабаадуулхада	H A V AA D UUh L H EH D EH <SPACE>
хабаатай	H A V AA T EE <SPACE>
хабарай	H A V EH R EE <SPACE>
хабсагай	H A P S EH Gr EE <SPACE>
хабсагайн	H A P S EH Gr EE NG <SPACE>
хабсагайнай	H A P S EH Gr EE N EE <SPACE>
хадаа	H A D AA <SPACE>
хадаар	H A D AA R <SPACE>
хадагалаатай	H A D EH Gr EH L AA T EE <SPACE>
хадамда	H A D EH M D EH <SPACE>
хадхан	H A T H EH NG <SPACE>
хадын	H A D Y NG <SPACE>
хажуугаар	H A ZH UUh Gr AA R <SPACE>
хажууда	H A ZH UUh D EH <SPACE>
хажуудахи	H A ZH UUh D EH HJ I <SPACE>
хазагай	H A Z EH Gr EE <SPACE>
хазармонголшууд	H A Z EH R M O NG G EH L S UUh T <SPACE>
хайшаа	H EE SH AA <SPACE>
хайшан	H EE SH EH NG <SPACE>
хайямай	H A J A M EE <SPACE>
халираа	H A LJ I R AA <SPACE>
халуун	H A L UUh NG <SPACE>
халуунаар	H A L UUh N AA R <SPACE>
хальмагуудай	H A LJ M EH Gr UUh D EE <SPACE>
хамаг	H A M EH G <SPACE>
хамагай	H A M EH Gr EE <SPACE>
хамагые	H A M EH Gr Y J EH <SPACE>
хамарханов	H A M EH R H A N O F <SPACE>
хамба	H A M B EH <SPACE>
хамгаалалдаг	H A M G AA L EH L D EH K <SPACE>
хамгаалгын	H A M Gr AA L Gr Y NG <SPACE>
хамгаалдаг	H A M G AA L D EH K <SPACE>
хамгаалха	H A M G AA L H EH <SPACE>
хамжан	H A M ZH EH NG <SPACE>
хамсыгаа	H A M S Y Gr AA <SPACE>
хамта	H A M T EH <SPACE>
хамтадхаһан	H A M T EH T H EH HH EH NG <SPACE>
хамтараад	H A M T EH R AA T <SPACE>
хамтарал	H A M T EH R EH L <SPACE>
хамһабариин	H A M HH EH V EH RJ II NG <SPACE>
хан	H A NG <SPACE>
ханада	H A N EH D EH <SPACE>
ханануудынь	H A N EH N UUh D Y NJ <SPACE>
хананхатайгаар	H A N EH N H EH T EE Gr AA R <SPACE>
хангаһангүй	H A NG G EH HH EH NG G UIs <SPACE>
хандадаг	H A N D EH D EH K <SPACE>
хандахаб	H A N D EH H EH P <SPACE>
хандуевна	H A N D Uh J E V N A P <SPACE>
хандуулдаг	H A N D UUh L D EH K <SPACE>
хани	H A NJ I <SPACE>
ханхареевнатай	H A N H EH RJ E J EH V N A T EE <SPACE>
хара	H A R EH <SPACE>
хараабди	H A R AA B DJ I <SPACE>
хараагүйб	H A R AA Gr UIs P <SPACE>
хараад	H A R AA T <SPACE>
хараада	H A R AA D EH <SPACE>
хараалагданхай	H A R AA L EH G D EH N H EE <SPACE>
хараанда	H A R AA N D EH <SPACE>
хараасгайнуудай	H A R AA S H EH N UUh D EE <SPACE>
харагдаа	H A R EH G D AA <SPACE>
харагдажа	H A R EH G D EH ZH EH <SPACE>
харагдана	H A R EH G D EH N EH <SPACE>
харагдаха	H A R EH G D EH H EH <SPACE>
харагдаһан	H A R EH G D EH HH EH NG <SPACE>
харагшад	H A R EH K SH EH T <SPACE>
харагшадаа	H A R EH K SH EH D AA <SPACE>
харагшадай	H A R EH K SH EH D EE <SPACE>
харагшадта	H A R EH K SH EH T T EH <SPACE>
харагшадтаа	H A R EH K SH EH T T AA <SPACE>
харадаг	H A R EH D EH K <SPACE>
хаража	H A R EH ZH EH <SPACE>
харалганаадануудта	H A R EH L Gr EH N AA D EH N UUs T T EH <SPACE>
харалганда	H A R EH L Gr EH N D EH <SPACE>
харамтай	H A R EH M T EE <SPACE>
харана	H A R EH N EH <SPACE>
харанаб	H A R EH N EH P <SPACE>
харанат	H A R EH N EH T <SPACE>
харандаашууд	H A R EH N D AA SH UUh T <SPACE>
харанхыда	H A R EH N H Y D EH <SPACE>
хараха	H A R EH H EH <SPACE>
харахада	H A R EH H EH D EH <SPACE>
харахан	H A R EH H EH NG <SPACE>
харахаш	H A R EH H EH SH <SPACE>
хараһан	H A R EH HH EH NG <SPACE>
харбановагай	H A R V EH N O V A Gr EE <SPACE>
харгана	H A R Gr EH N EH <SPACE>
харгы	H A R Gr Y <SPACE>
харгыгаар	H A R Gr Y Gr AA R <SPACE>
харгыдаа	H A R Gr Y D AA <SPACE>
харгыдань	H A R Gr Y D EH NJ <SPACE>
хари	H A RJ I <SPACE>
харилсаа	H A RJ I L S AA <SPACE>
харилсаан	H A RJ I L S AA NG <SPACE>
харилсажа	H A RJ I L S EH ZH EH <SPACE>
харин	H A RJ I NG <SPACE>
хартаабхын	H A R T AA P H Y NG <SPACE>
хартиков	H A R TJ I K O F <SPACE>
хартикова	H A R TJ I K O V A <SPACE>
харуулаа	H A R UUh L AA <SPACE>
харуулаад	H A R UUh L AA T <SPACE>
харуулагдана	H A R UUh L EH G D EH N EH <SPACE>
харуулагданаа	H A R UUh L EH G D EH N AA <SPACE>
харуулан	H A R UUh L EH NG <SPACE>
харуулба	H A R UUh L V EH <SPACE>
харуулжа	H A R UUh L ZH EH <SPACE>
харуулна	H A R UUh L N EH <SPACE>
харуулхадань	H A R UUh L H EH D EH NJ <SPACE>
харуулшад	H A R UUh L SH EH T <SPACE>
харуулһан	H A R UUh L HH EH NG <SPACE>
харюултай	H A RJ UUh L T EE <SPACE>
хатан	H A T EH NG <SPACE>
хатанхай	H A T EH N H EE <SPACE>
хатар	H A T EH R <SPACE>
хатараа	H A T EH R AA <SPACE>
хатарааб	H A T EH R AA P <SPACE>
хатараар	H A T EH R AA R <SPACE>
хатарай	H A T EH R EE <SPACE>
хатарба	H A T EH R V EH <SPACE>
хатардаг	H A T EH R D EH K <SPACE>
хатареев	H A T EH RJ E J EH F <SPACE>
хатаржа	H A T EH R ZH EH <SPACE>
хатарнабди	H A T EH R N EH B DJ I <SPACE>
хатарнуудые	H A T EH R N UUh D Y J EH <SPACE>
хатарта	H A T EH R T EH <SPACE>
хатарха	H A T EH R H EH <SPACE>
хатархаар	H A T EH R H AA R <SPACE>
хатархаяа	H A T EH R H EH J AA <SPACE>
хатарша	H A T EH R SH EH <SPACE>
хатаршад	H A T EH R SH EH T <SPACE>
хатаршан	H A T EH R SH EH NG <SPACE>
хатарые	H A T EH R Y J EH <SPACE>
хатарһанаа	H A T EH R HH EH N AA <SPACE>
хатууе	H A T UUh J EH <SPACE>
хахад	H A H EH T <SPACE>
хахасаха	H A H EH S EH H EH <SPACE>
хахираар	H A HJ I R AA R <SPACE>
хашардалта	H A SH EH R D EH L T EH <SPACE>
хаһаяа	H A HH EH J AA <SPACE>
хеэльсинкидэ	HJ EE LJ SJ I N K EH D EH <SPACE>
хибэс	HJ I V EH S <SPACE>
хизаар	HJ I Z AA R <SPACE>
хизаарай	HJ I Z AA R EE <SPACE>
хизаарнуудаар	HJ I Z AA R N UUh D AA R <SPACE>
хилээмэн	HJ I L EE M EH NG <SPACE>
химгадалгагша	HJ I M Gr EH D EH L Gr EH K SH EH <SPACE>
химгадалгашадшье	HJ I M Gr EH D EH L Gr EH SH EH T SH J EH <SPACE>
химгадалгын	HJ I M Gr EH D EH L Gr Y NG <SPACE>
хиртээнгүйгөөр	HJ I R T EE NG G UIs Gr OOs R <SPACE>
хирэ	HJ I R EH <SPACE>
хирээр	HJ I R EE R <SPACE>
хитад	HJ I T EH T <SPACE>
хобто	H O P T EH <SPACE>
ходо	H O D EH <SPACE>
хододоо	H O D EH D OOh <SPACE>
ходол	H O D EH L <SPACE>
хоер	H O J EH R <SPACE>
хоергэрлэнхэй	H O J EH R G E R L EH N H EE <SPACE>
хоердохи	H O J O R D EH HJ I <SPACE>
хожомдохи	H O ZH EH M D EH HJ I <SPACE>
хоймор	H OE M EH R <SPACE>
хойно	H OE N EH <SPACE>
хойноо	H OE N OOh <SPACE>
хойнохоно	H OE N EH H EH N EH <SPACE>
хойноһоо	H OE N OOh HH OOh <SPACE>
хойноһоонь	H OE N OOh HH OOh NJ <SPACE>
хойто	H OE T EH <SPACE>
хойтогол	H OE T EH Gr O L <SPACE>
хойтоголой	H OE T EH Gr O L EE <SPACE>
хойшо	H OE SH EH <SPACE>
хойшолондоо	H OE SH EH L EH N D EH <SPACE>
хойшоо	H OE H OOh <SPACE>
холбоо	H O L V OOh <SPACE>
холбоон	H O L V OOh NG <SPACE>
холбооной	H O L V OOh N EE <SPACE>
холбоотой	H O L V OOh T EE <SPACE>
холижо	H O LJ I ZH EH <SPACE>
холисогүй	H O LJ I S EH Gr UIs <SPACE>
холисолдоһон	H O LJ I S EH L D EH HH EH NG <SPACE>
холо	H O L EH <SPACE>
холодожол	H O L EH D EH ZH EH L <SPACE>
холоһоо	H O L OOh HH OOh <SPACE>
холуур	H O L UUh R <SPACE>
холын	H O L Y NG <SPACE>
хомор	H O M EH R <SPACE>
хонгёо	H O NG GJ OOh <SPACE>
хониндо	H O NJ I N D EH <SPACE>
хоног	H O N EH K <SPACE>
хоногой	H O N EH Gr EE <SPACE>
хоногто	H O N EH K T EH <SPACE>
хонхо	H O N H EH <SPACE>
хоол	H OOh L <SPACE>
хоолойтой	H OOh L EE T EE <SPACE>
хоолоор	H OOh L OOh R <SPACE>
хоолтой	H OOh L T EE <SPACE>
хоорондоо	H OOh R EH N D EH <SPACE>
хоорондын	H OOh R EH N D Y NG <SPACE>
хооһон	H OOh HH EH NG <SPACE>
хореография	H O RJ E O G R A FJ I A <SPACE>
хори	H O RJ I <SPACE>
хоридой	H O RJ I D EE <SPACE>
хориин	H O RJ II NG <SPACE>
хорин	H O RJ I NG <SPACE>
хормойдо	H O R EE D EH <SPACE>
хорогүй	H O R EH Gr UIs <SPACE>
хородог	H O R EH D EH K <SPACE>
хоротой	H O R EH T EE <SPACE>
хорхой	H O R H EE <SPACE>
хорёо	H O RJ OOh <SPACE>
хото	H O T EH <SPACE>
хотодо	H O T EH D EH <SPACE>
хотоһоо	H O T EH HH OOh <SPACE>
хотын	H O T Y NG <SPACE>
хохидоһон	H O HJ I D EH HH EH NG <SPACE>
хоёр	H O J EH R <SPACE>
хоёрдохи	H O J O R D EH HJ I <SPACE>
хубаалдаба	H Uh V AA L V EH <SPACE>
хубаалдажа	H Uh V AA L D EH ZH EH <SPACE>
хубаалдана	H Uh V AA L D EH N EH <SPACE>
хубаалдахыень	H Uh V AA L D EH H Y J EH NJ <SPACE>
хубаалдаһан	H Uh V AA L D EH HH EH NG <SPACE>
хубааралга	H Uh V AA R EH L Gr EH <SPACE>
хубаарилгаар	H Uh V AA RJ I L Gr AA R <SPACE>
хуби	H Uh VJ I <SPACE>
хубида	H Uh VJ I D EH <SPACE>
хубидань	H Uh VJ I D EH NJ <SPACE>
хубиин	H Uh VJ II NG <SPACE>
