ааб	AA P
хүдэлмэримнай	H Us D EH L M EH RJ I M N EE
хүдэлмэришэ	H Us D EH L M EH RJ I SH EH
хүдэлхыень	H Us D EH L H Y J EH NJ
хүдэлхэ	H Us D EH L H EH
хүдэлхэгүй	H Us D EH L H EH Gr UIs
хүдэлхэдөө	H Us D EH L H EH D OOs
хүдэлхэеэ	H Us D EH L H EH J EE
хүдэлһэн	H Us D EH L HH EH NG
хүдэлөө	H Us D EH L OOs
хүдэлөөд	H Us D EH L OOs T
хүдөө	H Us D OOs
хүдөөгэй	H Us D OOs Gr EE
хүдөөгэймнай	H Us D OOs Gr EH M N EE
хүдөөһөө	H Us D OOs HH OOs
хүзүүбшэ	H Us Z UUs P SH EH
хүйтэн	H UIs T EH NG
хуйтэн	H UIs T EH NG
хүйһөөрөө	H UIs HH OOs R OOs
хүл	H Us L
хүлгэн	H Us L Gr EH NG
хүлгөөдэг	H Us L Gr OOs D EH G
хүлгөөндэ	H Us L Gr OOs N D EH
хүлгөөнһөө	H Us L Gr OOs N HH OOs
хүлеэжэ	H Us LJ EE ZH EH
хүлеэсэтэй	H Us LJ EE S EH T EE
хүлеэхэ	H Us LJ EE H EH
хүлөө	H Us L OOs
хүм	H Us M
хүмүүжүүлгын	H Us M UUs ZH UUs L Gr Y NG
хүмүүжүүлжэ	H Us M UUs ZH UUs L ZH EH
хүмүүжүүлнэ	H Us M UUs ZH UUs L N EH
хүн	H Us NG
хүнби	H Us NG BJ I
хүнгэн	H Us NG G EH NG
хүнгэхэнөөр	H Us NG G EH H EH N OOs R
хүндые	H Us N D Y J EH
хүндэ	H Us N D EH
хүндэлхэ	H Us N D EH L H EH
хүндэлэн	H Us N D EH L EH NG
хүндэлһэн	H Us N D EH L HH EH NG
хүндэмүүшэ	H Us N D EH M UUs SH EH
хүндэтэ	H Us N D EH T EH
хүндэтэй	H Us N D EH T EE
хүндөөр	H Us N D OOs R
хүниие	H Us NJ II J EH
хүнта	H Us N T EH
хүнэй	H Us N EE
хүнүүд	H Us N UUs T
хүнүүдтэ	H Us N UUs T T EH
хүнүүдтэй	H Us N UUs T T EE
хүнүүдэй	H Us N UUs D EE
хүнүүдээр	H Us N UUs D EE R
хүргэдэг	H Us R Gr EH D EH K
хүргэнэб	H Us R Gr EH N EH P
хүргэхэ	H Us R Gr EH H EH
хүрин	H Us RJ I NG
хүртэбэ	H Us R T EH V EH
хүртэнхэй	H Us R T EH N H EE
хүртэнэ	H Us R T EH N EH
хүртэһэн	H Us R T EH HH EH NG
хүрьгэниинь	H Us RJ Gr EH NJ II NJ
хүрьһэтэй	H Us RJ HH EH T EE
хүрэжэ	H Us R EH ZH EH
хүрэнэ	H Us R EH N EH
хүрэтэр	H Us R EH T EH R
хүрэтэрөө	H Us R EH T EH R OOs
хүрэхэдөө	H Us R EH H EH D OOs
хүрэһэн	H Us R EH HH EH NG
хүсэ	H Us S EH
хүсэжэ	H Us S EH ZH EH
хүсэлдэшэхэдэнь	H Us S EH L D EH SH EH H EH D EH NJ
хүсэлтэйб	H Us S EH L T EE P
хүсэлтэйбди	H Us S EH L T EE B DJ I
хүсэлөө	H O S EH L OOs
хүсэн	H Us S EH NG
хүсэндэ	H Us S EH N D EH
хүсэнтэй	H Us S EH N T EE
хүсэнэб	H Us S EH N EH P
хүсэнэй	H Us S EH N EE
хүсэтэй	H Us S EH T EE
хүсэхөөр	H Us S EH H OOs R
хүсэһэн	H Us S EH HH EH NG
хүсөөтэдэ	H Us S OOs T EH D EE
хүтэлбэри	H Us T EH L V EH RJ I
хүтэлбэрииин	H Us T EH L V EH RJ II NG
хүтэлбэрилхэдэ	H Us T EH L V EH RJ I L H EH D EH
хүтэлбэрилэгшэ	H Us T EH L V EH RJ I K SH EH
хүтэлбэрилэгшэт	H Us T EH L V EH RJ I K SH EH T
хүтэлбэрилэгшөөр	H Us T EH L V EH RJ I K SH OOs R
хүтэлбэритэй	H Us T EH L V EH RJ I T EE
хүтэрэлдөөд	H Us T EH R EH L D OOs T
хүхэ	H Us H EH
хүхюу	H Us HJ UUh
хүхюун	H Us HJ UUh NG
хүхюутэй	H Us HJ UUh T EE
хүхюутэйгөөр	H Us HJ UUh T EE Gr OOs R
хүшэрхэн	H Us SH EH R H EH NG
хүшөө	H Us SH OOs
хүүгэд	H UUs Gr EH T
хүүгэдни	H UUs Gr EH D NJ I
хүүгэдтэ	H UUs Gr EH T T EH
хүүгэдтэй	H UUs Gr EH T T EE
хүүгэдтээ	H UUs Gr EH T T EE
хүүгэдые	H UUs Gr EH D Y J EH
хүүгэдэй	H UUs Gr EH D EE
хүүндэ	H UUs N D EH
хүүнүүд	H UUs N UUs T
хүүртээ	H UUs R T EE
хөөрхэн	H OOs R H EH NG
хөөрэгдэнэ	H OOs R EH G D EH N EH
хөөрэдэг	H OOs R D EH D EH K
хөөрэжэ	H OOs R EH ZH EH
хөөрэлдэжэ	H OOs R EH L D EH ZH EH
хөөрэлдөөд	H OOs R EH L D OOs T
хөөрэлдөөн	H OOs R EH L D OOs NG
хөөрэлдөөндэ	H OOs R EH L D OOs N D EH
хөөрэнгүй	H OOs R EH NG G UIs
хөөрэнэ	H OOs R EH N EH
хөөрөөгөө	H OOs R OOs Gr OOs
хөөрөөнэй	H OOs R OOs N EE
хөөрөөнүүдыень	H OOs R OOs N UUs D Y J EH NJ
цыденов	C Y DJ E N O V
цыденова	C Y DJ E N O V A
цыдып	C Y D Y P
цыдыпова	C Y D Y P O V A
цындыма	C Y N D Y M A
цыпелма	C Y PJ E L M A
цыпелмаагай	C Y PJ E L M AA Gr EE
цыпелмаае	C Y PJ E L M AA J EH
цыпелмагай	C Y PJ E L M A Gr EE
цыпелмада	C Y PJ E L M A D EH
цыпелмае	C Y PJ E L M A J EH
цыренгармаев	C Y RJ E N G A R M A J E F
цыренгармаевые	C Y RJ E N G A R M A J E V Y J E
цыренгармын	C Y RJ E NG G A R M Y NG
цырендашиев	C Y RJ E N D A SH Y J E F
цырендоржиев	C Y RJ E N D O R ZH Y J E F
цырендоржиевна  C Y RJ E N D O R ZH Y J E V N A
цыренжапов	C Y RJ E N ZH A P O F
цыреноватай	C Y RJ E N O V A T EE
цыцык	C Y C Y K
чагатай	CH A Gr EH T EE
чемпион	CH E M PJ I O NG
чимитов	CH I MJ I T O F
чингис	CH I N GJ I S
чингисхаан	CH I N GJ I S H AA NG
чингисхаанай	CH I N GJ I S H AA N EE
чингисхана	CH I N GJ I S H EH N EH
шабинартань	SH A VJ I N EH R T EH NJ
шагнажа	SH A G N EH ZH EH
шагнаха	SH A G N EH H EH
шадаа	SH A D AA
шадабари	SH A D EH V EH RJ I
шадабарида	SH A D EH V EH RJ I D EH
шадабарииень	SH A D EH V EH RJ II J EH NJ
шадабаритай	SH A D EH V EH RJ I T EE
шадабаряараа	SH A D EH V EH RJ AA R AA
шададаг	SH A D EH D EH K
шадал	SH A D EH L
шадалаа	SH A D EH L AA
шадалтай	SH A D EH L T EE
шадалые	SH A D EH L Y J EH
шадана	SH A D EH N EH
шадар	SH A D EH R
шадараар	SH A D EH R AA R
шадаха	SH A D EH H EH
шажан	SH A ZH EH NG
шаланова	SH A L A N O V A
шалановае	SH A L A N O V A J EH
шалгалта	SH A L Gr EH L T EH
шалгаран	SH A L Gr EH R EH NG
шалгаруулха	SH A L Gr EH R UUh L H EH
шалгаха	SH A L Gr EH H EH
шалтаад	SH A L T AA T
шалтагһаа	SH A L T EH G HH AA
шамайе	SH A M EE J EH
шамда	SH A M D EH
шамтай	SH A M T EE
шанагаяа	SH A N EH Gr EH J AA
шанажа	SH A N EH ZH EH
шаналга	SH A N EH L Gr EH
шанар	SH A N EH R
шанартай	SH A N EH R T EE
шанартайе	SH A N EH R T EE J EH
шанга	SH A NG G EH
шангай	SH A NG G EE
шанда	SH A N D EH
шандаганай	SH A N D EH Gr EH N EE
шандаганда	SH A N D EH Gr EH N D EH
шараа	SH A R AA
шарайтай	SH A R EE T EE
шарайшье	SH A R EE SH J EH
шараһан	SH A R EH HH EH NG
шата	SH A T EH
шатаар	SH A T AA R
шаташаһан	SH A T EH SH EH HH EH NG
шатын	SH A T Y NG
шах	SH A H
шахуу	SH A H UUh
швециин	SH VJ E C Y NG
шеметова	SH E MJ E T O V A
шенхоров	SH E N H O R O F
шенхорова	SH E N H O R O V A
шенхоровагай	SH E N H O R O V A Gr EE
шенхоровтоной	SH E N H O R O F T EH N EE
ши	SH Y
шииг	SH Y K
шиидхэбэл	SH Y T H EH V EH L
шиидхэгдээгүй	SH Y T H EH G D EE Gr UIs
шиидхэхы	SH Y T H EH H Y
шиидхэхэ	SH Y T H EH H EH
шиидэһэн	SH Y D EH HH EH NG
шинии	SH Uh NJ II
шишкинские	SH Y SH KJ I N S KJ I J E
шкаф	SH K A F
шог	SH O K
шогтой	SH O K T EE
шонхо	SH O N H EH
шоо	SH OOh
шоройдожо	SH O R EE D EH ZH EH
шпагат	SH P A G A T
шри	SH RJ I
шубууд	SH Uh V UUh T
шубуун	SH Uh V UUh NG
шугам	SH Uh Gr EH M
шугамууд	SH Uh Gr EH M UUh T
шудалагдажал	SH Uh D EH L EH G D EH ZH EH L
шудалагдан	SH Uh D EH L EH G L EH NG
шудалалга	SH Uh D EH L EH L Gr EH
шудалалгада	SH Uh D EH L EH L Gr EH D EH
шудалалгын	SH Uh D EH L EH L Gr Y NG
шудалдаг	SH Uh D EH L D EH K
шудалжал	SH Uh D EH L ZH EH L
шудалха	SH Uh D EH L H EH
шудалхаар	SH Uh D EH L H AA R
шудалһан	SH Uh D EH L HH EH NG
шударгы	SH Uh D EH R Gr Y
шулуу	SH Uh L UUh
шулуун	SH Uh L UUh NG
шулуунууд	SH Uh L UUh N UUh T
шуналтай	SH Uh N EH L T EE
шунгалга	SH Uh NG EH L Gr EH
шуран	SH Uh R EH NG
шуугаа	SH UUh Gr AA
шуумайса	SH UUh M EE S EH
шуурган	SH UUh R Gr EH NG
шууяа	SH UUh J AA
шууялдаан	SH UUh J A L D AA NG
шухала	SH Uh H EH L EH
шэбхэдэдэггүйбди	SH E P H EH D EH D EH G G UIs B DJ I
шэбхэдэнэгүй	SH E P H EH D EH N EH Gr UIs
шэбшэбэ	SH E P SH EH V EH
шэбэртэ	SH E V EH R T EH
шэбэртэеэ	SH E V EH R T EH J EE
шэглэлтэй	SH E G L EH L T EE
шэди	SH E DJ I
шэдитэ	SH E DJ I T EH
шэлэгдээ	SH E L EH G D EE
шэлэдэг	SH E L EH D EH K
шэлэдэгдэхээр	SH E L EH D EH G D EH H EE R
шэлэжэ	SH E L EH ZH EH
шэлэн	SH E L EH NG
шэлэхэ	SH E L EH H EH
шэмэг	SH E M EH K
шэмэглэжэрхёо	SH E M EH G L EH ZH EH R HJ OOh
шэмээшэгүүд	SH E M EE SH EH Gr UUs T
шэнгеэр	SH E NG GJ EE R
шэнги	SH E NG GJ I
шэнгэжэ	SH E NG G EH ZH EH
шэнгэн	SH E NG G EH NG
шэнгэрүүһэд	SH E NG G EH R UUs HH EH T
шэнжэлбэб	SH E N ZH EH L V EH P
шэнжэлдэг	SH E N ZH EH L D EH K
шэнжэлхэеэ	SH E N ZH EH L H EH J EE
шэнжэлэгдээ	SH E N ZH EH L EH G D EE
шэнжэлэн	SH E N ZH EH L EH N
шэнжэнүүд	SH E N ZH EH N UUs T
шэнжэтэй	SH E N ZH EH T EE
шэнхинээн	SH E N HJ I N EE NG
шэнэ	SH E N EH
шэрдэг	SH E R D EH G
шэртэн	SH E R T EH NG
шэрэ	SH E R EH
шэтэ	SH E T EH
шэхэндэ	SH E H EH N D EH
шүдэнэй	SH Us D EH N EE
шүлыень	SH Us L Y J EH NJ
шүлэг	SH Us L EH K
шүлэгдэмэл	SH Us L EH G D EH M EH L
шүлэгшын	SH Us L EH K SH Y NG
шүлэгшэ	SH Us L EH K SH EH
шүлэгэй	SH Us L EH Gr EE
шүлэгүүд	SH Us L EH Gr UUs T
шүлэгүүдыень	SH Us L EH Gr UUs D Y J EH NJ
шүлэгүүдэй	SH Us L EH Gr UUs D EE
шүлэгүүдээ	SH Us L EH Gr UUs D EE
шүлэгүүдээр	SH Us L EH Gr UUs D EE R
шүлэгүүдээрээ	SH Us L EH Gr UUs D EE R EE
шүлэгөөрөө	SH Us L EH G OOs R OOs
шүлһэ	SH Us L HH EH
шүтэлгын	SH Us T EH L Gr Y NG
шүүжэ	SH UUh ZH EH
шүүлэгүүдэй	SH UUh L EH Gr UUs D EE
эбтэй	E P T EE
эвенкнүүдтэй	E VJ E N K N UUs T T EE
эгэшэ	E Gr EH SH EH
эгээ	E Gr EE
эгээл	E Gr EE L
эдеэ	E DJ EE
эдеэгээ	E DJ EE Gr EE
эдеэгээр	E DJ EE Gr EE R
эдеэлхэ	E DJ EE L H EH
эдеэлүүлхэдээ	E DJ EE L UUs L H EH D EE
эди	E DJ I
эдижэ	E DJ I ZH EH
эдир	E DJ I R
эдиршүүлдэ	E DJ I R SH UUs L D EH
эдлээ	E T L EE
эдэ	E D EH
эдэбхи	E D EH P HJ I
эдэбхитэй	E D EH P HJ I T EE
эдэбхитэйгээр	E D EH P HJ I T EE Gr EE R
эетэй	E J EH T EE
эжы	E ZH Y
эжыдээ	E ZH Y D EE
эжые	E ZH Y J EH
эжымни	E ZH Y M NJ I
эжын	E ZH Y NG
эжынь	E ZH Y NJ
эжэл	E ZH EH L
эжэлүүдгүй	E ZH EH L UUs D G UIs
эзэлхын	E Z EH L H Y NG
эзэмдэжэ	E Z EH M D EH ZH EH
эзэмдэн	E Z EH M D EH NG
эзэн	E Z EH NG
экспедицеэр	E K S PJ E DJ I C EE R
экспедицимнай	E K S PJ E DJ I C EH M N EE
экшн	E K SH NG
элбэг	E L V EH K
элдэб	E L D EH P
элдэбын	E L D EH V Y NG
элдэдэг	E L D EH D EH K
электронно	E LJ E K T R O N EH
элидхэлнүүд	E LJ I T H EH L N UUs T
элинсэг	E LJ I N S EH K
элинсэгэй	E LJ I N S EH Gr EE
элирүүлэгдээ	E LJ I R UUs L EH G D EE
элитэ	E LJ I T EH
элсүүлэнхэй	E L S UUs L EH N H EE
элшэтэ	E L SH EH T EH
эльбээд	E LJ V EE T
эльгээгдэһээн	E LJ G EE G D EH HH EE NG
эльгээхые	E LJ G EE H Y J EH
элүүр	E L UUs R
элһэнби	E L HH EH NG BJ I
эм	E M
эмхи	E M HJ I
эмхидхэгдэжэ	E M HJ I T H EH G D EH ZH EH
эмхидхэгдэһэн	E M HJ I T H EH G D EH HH EH NG
эмхидхэдэг	E M HJ I T H EH D EH K
эмхидхэхээр	E M HJ I T H EH H EE R
эмхидхээ	E M HJ I T H EE
эмхидхэһэн	E M HJ I T H EH HH EH NG
эмхинүүд	E M HJ I N UUs T
эндэ	E N D EH
эндэһээ	E N D EH HH EE
энеэбхилэн	E NJ EE P HJ I L EH NG
энеэдэн	E NJ EE D EH NG
энеэлдэн	E NJ EE L D EH NG
энеэнэ	E NJ EE N EH
энхэ	E N H EH
энэ	E N EH
энэдхэг	E N EH T H EH K
энэдхэгтэ	E N EH T H EH K T EH
энэдхэгэй	E N EH T H EH Gr EE
энэл	E N EH L
энэнь	E N EH NJ
энэшни	E N EH SH NJ I
энээн	E N EE NG
энээндэнь	E N EE N D EH NJ
энээниие	E N EE NJ II J EH
энээхэн	E N EE H EH NG
энээхэндэ	E N EE H EH N D EH
энээхэниие	E N EE H EH NJ II J EH
энэһээ	E N EH HH EE
экономико   E K O N O MJ I K EH
эрдэм	E R D EH M
эрдэмтэд	E R D EH M T EH T
эрдэмтэдэй	E R D EH M T EH D EE
эрдэмтэн	E R D EH M T EH NG
эрдэмтэниие	E R D EH M T EH NJ II J EH
эрилтын	E RJ I L T Y NG
эрилтэ	E RJ I L T EH
эрмэлзэжэ	E R M EH L Z EH ZH EH
эртэ	E R T EH
эрхилжэ	E R HJ I L ZH EH
эрхилхэдэл	E R HJ I L H EH D EH L
эрхилэгшэд	E R HJ I L EH K SH EH T
эрхилэгшэдһээшье	E R HJ I L EH K SH EH T HH EE SH J EH
эрхые	E R H Y J EH
эрхэ	E R H EH
эрхүү	E R H UUs
эрхүүгэй	E R H UUs Gr EE
эрхүүгэйхид	E R H UUs Gr EE HJ I T
эршэ	E R SH EH
эршэмтэй	E R SH EH M T EE
эршэтэйгээр	E R SH EH T EE Gr EE R
эрье	E RJ J EH
эрьедэ	E RJ J EH D EH
эрьелдэнэ	E RJ J EH L D EH
эрьеэр	E RJ J EE R
эрэ	E R EH
эрэшүүлэй	E R EH SH UUs L EE
эрэһэн	E R EH HH EH NG
эсэбэритэй	E S EH V EH RJ I T EE
эсэгыемни	E S EH Gr Y J EH M NJ I
эсэгынгээ	E S EH Gr Y NG G EE
эсэгынгээл	E S EH Gr Y NG G EE L
эсэгэ	E S EH Gr EH
эсэгэдэнь	E S EH Gr EH D EH NJ
эсэгэдээ	E S EH Gr EH D EE
эсэгэеэ	E S EH Gr EH J EE
эсэгэмни	E S EH Gr EH M NJ I
эсэгэнь	E S EH Gr EH NJ
эсэгэнэрэйнгээ	E S EH Gr EH N EH R EE NG G EE
этигэл	E TJ I Gr EH L
этигэнэгүй	E TJ I Gr EH N EH Gr UIs
этнографическа	E T N EH G R A FJ I CH EH S K EH
эхилбэ	E HJ I L V EH
эхилжэ	E HJ I L ZH EH
эхилхэ	E HJ I L H EH
эхилхэдэнь	E HJ I L H EH D EH NJ
эхилхэдээ	E HJ I L H EH D EE
эхилхэдээл	E HJ I L H EH N D EE L
эхилээ	E HJ I L EE
эхилээб	E HJ I L EE P
эхилээд	E HJ I L EE T
эхилһэн	E HJ I L HH EH NG
эхин	E HJ I NG
эхиндэ	E HJ I N D EH
эхирэдбулагадай	E HJ I R EH D B Uh L EH Gr EH D EE
эхитэй	E HJ I T EE
эхынгээ	E H Y NG G EE
эхэ	E H EH
эхэнэр	E H EH N EH R
эшхэбтэр	E SH H EH P T EH R
эшэнгүй	E SH EH NG G UIs
эшэхэ	E SH EH H EH
ээрсэгээр	EE R S EH Gr EE R
ээрэжэ	EE R EH ZH EH
юм	J Uh M
юмбибди	J Uh M BJ I B DJ I
юрэ	J Uh R EH
юрэдөөл	J Uh R EH D OOs L
юрэнхылэгшэ	J Uh R EH N H Y L EH K SH EH
юрөө	J Uh R OOs
юу	J UUh
юуб	J UUh P
юугээр	J UUh Gr EE R
юугээрээ	J UUh Gr EE R EE
юум	J UUh M
юумыешни	J UUh M Y J EH SH NJ I
юумэ	J UUh M EH
юумэеэ	J UUh M EH J EE
юумэн	J UUh M EH NG
юумэндэ	J UUh M EH N D EH
юумэнэйнь	J UUh M EH N EE NJ
юумэнүүдые	J UUh M EH N UUs D Y J EH
юун	J UUh NG
юундэ	J UUh N D EH
юундэб	J UUh N D EH P
юуншье	J UUh N SH J EH
юунһээшье	J UUh N HH EE SH J EH
юһэдэхи	J Uh HH EH D EH HJ I
юһэн	J Uh HH EH NG
яажа	J AA ZH EH
яарадаггүйб	J AA R EH D EH G G UIs P
яаралгүй	J AA R EH L Gr UIs
яаралгүйхэн	J AA R EH L Gr UIs H EH NG
яахабши	J AA H EH P SH Y
ябаа	J A V AA
ябаарай	J A V AA R EE
ябаба	J A V EH V EH
ябадал	J A V EH D EH L
ябажа	J A V EH ZH EH
ябалган	J A V EH L Gr EH NG
ябалсааб	J A V EH L S AA P
ябана	J A V EH N EH
ябаха	J A V EH H EH
ябахада	J A V EH H EH D EH
ябахадаа	J A V EH H EH D AA
ябахадаал	J A V EH H EH D AA L
ябахадань	J A V EH H EH D EH NJ
ябахаяа	J A V EH H EH J AA
ябахыень	J A V EH H Y J EH NJ
ябахын	J A V EH H Y NG
ябаһаар	J A V EH HH AA R
ябаһан	J A V EH HH EH NG
ябуулаад	J A V UUh L AA T
ябуулагдаа	J A V UUh L EH G D AA
ябуулагшад	J A V UUh L EH G SH EH T
ябуулгаад	J A V UUh L Gr AA T
ябуулжа	J A V UUh L ZH EH
ябуулна	J A V UUh L N EH
ядалдаагүй	J A D EH L D AA Gr UIs
ядалсадаг	J A D EH L S EH D EH K
ядаха	J A D EH H EH
ядахагүйб	J A D EH H EH Gr UIs P
якутск	J A K Uh T S K
ялараа	J A L EH R AA
ялас	J A L EH S
ямар	J A M EH R
ямараар	J A M EH R AA R
ямаршье	J A M EH R SH J EH
январь	J A N V A RJ
янзын	J A N Z Y NG
янхаевтан	J A N H A J EH V T EH NG
япон	J A P O NG
яхадай	J A H EH D EE
яһала	J A HH EH L EH
яһанай	J A HH EH N EE
яһатан	J A HH EH T EH NG
яһатанай	J A HH EH T EH N EE
ёг	J O K
ёохор	J OOh H EH R
ёһо	J O HH EH
ёһоор	J O HH OOh R
ёһоороо	J O HH OOh R OOh
ёһотой	J O HH EH T EE
ёһотойл	J O HH EH T EE L
үбгэ	Us V Gr EH
үбгэд	Us V Gr EH T
үбшые	Us P SH Y J EH
үглөөгүүр	Us G L OOs Gr UUs R
үгтэдэг	Us K T EH D EH K
үгтэнэ	Us K T EH N EH
үгтэһэн	Us K T EH HH EH NG
үгы	Us Gr Y
үгыбши	Us Gr Y P SH Y
үгыдэ	Us Gr Y D EH
үгые	Us Gr Y J EH
үгылнэ	Us Gr Y L N EH
үгыт	Us Gr Y T
үгэ	Us Gr EH
үгэбэ	Us Gr EH V EH
үгэгдэһэн	Us Gr EH G D EH HH EH NG
үгэдэ	Us Gr EH D EH
үгэдэг	Us Gr EH D EH K
үгэнэ	Us Gr EH N EH
үгэнүүд	Us Gr EH N UUs T
үгэшье	Us Gr EH SH J EH
үгэһэн	Us Gr EH HH EH NG
үгөө	Us Gr OOs
үгөөб	Us Gr OOs P
үгөөрөө	Us Gr OOs R OOs
үдын	Us D Y NG
үдэ	Us D EH
үдэр	Us D EH R
үдэрнүүд	Us D EH R N UUs T
үдэрнүүдтэ	Us D EH R N UUs T T EH
үдэрнүүдые	Us D EH R N UUs D Y J EH
үдэшын	Us D EH SH Y NG
үдэшэ	Us D EH SH EH
үдэшэндөө	Us D EH SH EH N D OOs
үе	Us J EH
үедэ	Us J EH D EH
үедэнь	Us J EH D EH NJ
үедөө	Us J EH D OOs
үерлэн	Us J EH R L EH NG
үетэнөө	Us J EH T EH N OOs
үеын	Us J E Y NG
үеһөө	Us J EH HH OOs
үзэгдэдэг	Us Z EH G D EH D EH K
үзэгдэнэ	Us Z EH G D EH N EH
үзэдэггүйб	Us Z EH D EH G G UIs P
үзэдэгынь	Us Z EH D EH Gr Y NJ
үзэе	Us Z EH J EH
үзэжэ	Us Z EH ZH EH
үзэлгэ	Us Z EH L Gr EH
үзэлшэн	Us Z EH L SH EH NG
үзэсхэлэн	Us Z EH S H EH L EH NG
үзэсхэлэнтэ	Us Z EH S H EH L EH N T EH
үзэхэ	Us Z EH H EH
үзэхэгүй	Us Z EH H EH Gr UIs
үзэхэдэ	Us Z EH H EH D EH
үзэһэн	Us Z EH HH EH NG
үзүүлдэг	Us Z UUs L D EH K
үзүүлжэ	Us Z UUs L ZH EH
үзүүлхэ	Us Z UUs L H EH
үзүүлэгдэхэ	Us Z UUs L EH G D EH H EH
үзүүлһэн	Us Z UUs L HH EH NG
үзөөгүй	Us Z OOs Gr UIs
үй	UIs
үйлын	UIs L Y NG
үйлэ	UIs L EH
үйлэдбэрилхэ	UIs L EH D B EH RJ I L H EH
үйлэдбэрилһэн	UIs L EH D B EH RJ I L HH EH NG
үйлэдэхэ	UIs L EH D EH H EH
үлгы	Us L Gr Y
үлгөөтэй	Us L Gr OOs T EE
үлир	Us LJ I R
үлэн	Us L EH NG
үлэнхэй	Us L EH N H EE
үлэшоо	Us L EH SH OOh
үлэшэнэ	Us L EH SH EH N EH
үлэшэһэн	Us L EH SH EH HH EH NG
үлүү	Us L UUs
үлөөд	Us L OOs T
үлөөһэн	Us L OOs HH EH NG
үмсын	Us M S Y NG
үмөөрөөд	Us M OOs R OOs T
үнгэргэгдэһэн	Us NG G EH R Gr EH G D EH HH EH NG
үнгэргэгдөө	Us NG G EH R Gr EH G D OOs
үнгэргэхэ	Us NG G EH R H EH D EH
үнгэргөө	Us NG G EH R Gr OOs
үнгэрдэг	Us NG G EH R D EH K
үнгэрхэдөө	Us NG G EH R H EH D OOs
үнгэрэгшэ	Us NG G EH R EH G SH EH
үнгэрэмсөөр	Us NG G EH R EH M S OOs R
үнгэрһэн	Us NG G EH R EH HH EH NG
үнгэрөө	Us NG G EH R OOs
үнгэрөөб	Us NG G EH R OOs P
үнгэтэ	Us NG G EH T EH
үнгэтэй	Us NG G EH T EE
үндын	Us N D Y NG
үндыһэн	Us N D Y HH EH NG
үндэр	Us N D EH R
үндэһэд	Us N D EH HH EH T
үндэһэн	Us N D EH HH EH NG
үндэһэнһөө	Us N D EH HH EH N HH OOs
үндэһэтэ	Us N D EH HH EH T EH
үнеэ	Us NJ EE
үнжэгэн	Us N ZH EH Gr EH NG
үни	Us NJ I
үншэршэнхэй	Us N SH EH R SH EH N H EE
үнэн	Us N EH NG
үнэндөө	Us N EH N D OOs
үнэр	Us N EH R
үнэтэ	Us N EH T EH
үнэтэй	Us N EH T EE
үнэхөөрөө	Us N EH H OOs R OOs
үнэхөөрөөл	Us N EH H OOs R OOs L
үнөөхи	Us N OOs HJ I
үргэе	Us R Gr EH J EH
үргэлжэ	Us R Gr EH L ZH EH
үргэлжэлүүлэгдээ	Us R Gr EH L ZH E L UUs L EH G D EE
үргэн	Us R Gr EH NG
үргэнэ	Us R Gr EH N EH
үргэнөөр	Us R Gr EH N OOs R
үргөө	Us R Gr OOs
үргөөш	Us R Gr OOs SH
үрдеэгүй	Us R DJ EE Gr UIs
үреэ	Us RJ EE
үри	Us RJ I
үринь	Us RJ I NJ
үрхэ	Us R H EH
үрэжэлтэй	Us R EH ZH EH L T EE
үсхэлдэрэйхи	Us S H EH L D EH R EE HJ I
үсэгэлдэр	Us S EH Gr EH L D EH R
үсэгэлдэртөө	Us S EH Gr EH L D EH R T OOs
үсөөн	Us S OOs NG
үсөөрөө	Us S OOs R OOs
үтэрхэн	Us T EH R H EH NG
үхибүүд	Us HJ I V UUs T
үхибүүднай	Us HJ I V UUs D N EE
үхибүүдтэ	Us HJ I V UUs T T EH
үхибүүдые	Us HJ I V UUs D Y J EH
үхибүүдэй	Us HJ I V UUs D EE
үхибүүдэйнгээ	Us HJ I V UUs D EE NG G EE
үхибүүн	Us HJ I V UUs NG
үхибүүндээ	Us HJ I V UUs N D EE
үхибүүниинь	Us HJ I V UUs NJ II NJ
үхибүүтэй	Us HJ I V UUs T EE
үхэр	Us H EH R
үхэрнүүд	Us H EH R N UUs T
үхэртэй	Us H EH R T EE
үхэхэш	Us H EH H EH SH
үшөө	Us SH OOs
үшөөл	Us SH OOs L
үшөөшье	Us SH OOs SH J EH
үүдэ	UUs D EH
үүдэн	UUs D EH NG
үүдэнэй	UUs D EH N EE
үүдэшэн	UUs D EH SH EH NG
үүдэшэнөөр	UUs D EH SH EH N OOs R
үүдээ	UUs D EE
үүргэ	UUs R Gr EH
үүргэтэй	UUs R Gr EH T EE
үүсхэл	UUs S H EH L
һаа	HH AA
һаалган	HH AA L Gr EH NG
һаам	HH AA M
һаамнай	HH AA M N EE
һаамни	HH AA M NJ I
һаань	HH AA NJ
һаданар	HH A D EH N EH R
һадаһад	HH A D EH HH EH T
һадаһадай	HH A D EH HH EH D EE
һадаһаднай	HH A D EH HH EH D N EE
һажаажа	HH A ZH AA ZH EH
һажаанхай	HH A ZH AA N H EE
һайжаруулхаар	HH EE ZH EH R UUh L H AA R
һайн	HH EE NG
һайнаар	HH EE N AA R
һайнааршье	HH EE N AA R SH J EH
һайндэр	HH EE N D EH R
һайндэрнүүдые	HH EE N D EH R N UUs D Y J EH
һайндэртэ	HH EE N D EH R T EH
